,tract,count_311,count_crime,homeless_2016,homeless_2017,count_shelter,count_population
808,240900,9,7,0,44,0,5620
809,241001,8,4,17,76,0,4285
810,241002,4,4,36,61,0,3606
811,241110,1,0,113,14,1,3074
812,241120,7,1,18,6,0,4564
813,241201,4,0,2,7,0,2898
814,241202,17,2,26,4,0,4943
815,241300,21,0,18,34,0,2313
816,241400,6,4,11,81,0,3285
817,242000,0,2,106,241,0,3938
818,242100,1,0,17,12,0,2714
819,242200,21,3,13,10,0,6554
820,242300,9,3,16,13,0,4586
821,242600,2,7,46,97,0,4409
822,242700,21,5,44,10,0,5273
823,243000,17,0,27,22,0,6769
824,243100,15,1,33,34,0,5350
825,261101,0,0,0,0,0,3499
826,261102,0,0,0,6,0,4362
827,261200,1,0,0,2,0,4341
828,262100,2,0,0,0,0,3586
829,262200,12,0,0,0,0,4675
830,262301,1,0,2,3,0,2744
831,262302,3,0,0,0,0,2818
832,262303,0,0,0,2,0,3290
833,262400,0,0,0,0,0,3233
834,262501,0,0,1,0,0,3662
835,262601,0,0,2,0,0,3660
836,262604,6,0,33,26,0,6092
837,262704,1,4,67,43,0,3567
838,262706,1,0,44,15,0,3563
839,262802,2,1,43,17,0,3759
840,264000,0,1,0,2,0,3358
841,264102,0,0,4,0,0,2873
842,264103,7,3,5,3,0,2319
843,264301,6,0,16,16,0,4646
844,264302,5,0,17,15,0,5683
845,265100,0,0,0,2,0,2489
846,265201,3,0,1,4,0,2608
847,265202,55,5,37,38,0,3611
848,265301,5,1,5,15,0,9344
849,265303,0,0,0,0,0,4523
850,265304,0,0,0,3,0,3570
851,265305,3,0,7,11,0,4082
852,265410,0,0,0,1,0,1576
853,265420,0,0,4,0,0,1811
854,265510,4,3,13,13,0,4234
855,265520,71,6,197,45,0,4561
856,265601,1,0,0,16,0,2890
857,265602,2,0,0,3,0,3042
858,265700,4,1,3,5,0,4720
859,267100,19,1,12,11,0,6087
860,267200,27,3,68,40,0,5927
861,267300,40,11,21,42,0,3680
862,267402,4,1,10,17,0,4580
863,267403,1,3,124,125,0,3011
864,267404,0,0,0,7,0,2806
865,267501,11,1,2,15,0,5379
866,267502,17,3,24,28,0,3243
867,267600,108,4,30,25,0,2549
868,267700,50,4,17,17,0,2990
869,267800,91,4,112,190,1,2917
870,267901,3,0,1,0,0,2428
871,267902,1,0,0,3,0,3375
872,269000,0,1,10,11,0,5138
873,269100,2,1,4,6,0,4359
874,269300,1,0,10,4,0,3885
875,269500,0,0,0,2,0,4043
876,269601,0,1,5,15,0,3413
877,269602,0,0,0,2,0,3252
878,269700,10,0,2,16,0,4085
879,269800,43,0,15,18,0,3458
880,269903,5,1,19,15,0,3650
881,269904,3,0,12,28,0,3902
882,269905,3,0,22,24,0,2423
883,269906,0,0,3,10,0,2878
884,269907,1,0,25,13,0,2761
885,270100,42,1,6,39,0,4412
886,270200,29,6,8,67,0,3761
887,270300,45,3,31,39,0,2364
888,271100,129,1,13,37,0,2449
889,271200,79,2,34,27,0,2525
890,271300,49,1,7,19,0,4506
891,271400,5,0,7,6,0,3391
892,271500,0,0,17,5,0,2937
893,271600,15,1,9,4,0,4475
894,271701,46,0,5,1,0,5850
895,271702,140,0,8,38,0,4134
896,271801,65,0,14,6,0,3635
897,271802,2,0,5,9,0,5911
898,271901,61,0,21,1,0,3087
899,271902,10,0,36,0,0,3877
900,272100,1,0,12,2,0,4354
901,272201,3,0,14,35,0,2411
902,272202,3,0,16,21,0,3378
903,272301,2,0,2,4,0,2941
904,272302,10,0,1,2,0,4074
905,273100,41,2,68,54,1,2197
